Kanton,2015,,
Zürich,655098,,
Bern,458019,,
Luzern,169665,,
Uri,14881,,
Schwyz,65059,,
Obwalden,15471,,
Nidwalden,18375,,
Glarus,17430,,
Zug,52273,,
Freiburg,124181,,
Solothurn,117233,,
Basel-Stadt,96190,,
Basel-Landschaft,124693,,
Schaffhausen,36053,,
Appenzell A. Rh.,23129,,
Appenzell I. Rh.,6290,,
St. Gallen,213233,,
Graubünden,89406,,
Aargau,279813,,
Thurgau,113928,,
Tessin,160198,,
Waadt,333955,,
Wallis,143235,,
Neuenburg,80449,,
Genf,192973,,
Jura,30121,,
